date,price
6/24/2024,60013.95
6/23/2024,63613.23
6/22/2024,64282.5
6/21/2024,64134.04
6/20/2024,64944.53
6/19/2024,64809.5
6/18/2024,65246.76
6/17/2024,66621.26
6/16/2024,66703.29
6/15/2024,66161.72
6/14/2024,65974.53
6/13/2024,66873.16
6/12/2024,68301.06
6/11/2024,67346.4
6/10/2024,69459.3
6/9/2024,69350
6/8/2024,69327.73
6/7/2024,69463.07
6/6/2024,70852.11
6/5/2024,71160.92
6/4/2024,70576.72
6/3/2024,69033.77
6/2/2024,67882.6
6/1/2024,67727.03
5/31/2024,67469.37
5/30/2024,68294.27
5/29/2024,67597.33
5/28/2024,68529.87
5/27/2024,69530.96
5/26/2024,68550.57
5/25/2024,69122.33
5/24/2024,68768.09
5/23/2024,67622.38
5/22/2024,69113.85
5/21/2024,70194.61
5/20/2024,69628.92
5/19/2024,66334.27
5/18/2024,66947.09
5/17/2024,66800
5/16/2024,65414.87
5/15/2024,66142.66
5/14/2024,61682.87
5/13/2024,62763.12
5/12/2024,61294.62
5/11/2024,60883.34
5/10/2024,60847.3
5/9/2024,63283.32
5/8/2024,61249.36
5/7/2024,62850
5/6/2024,63491.17
5/5/2024,63869.83
5/4/2024,63634.26
5/3/2024,62829.06
5/2/2024,59335.59
5/1/2024,57802.24
4/30/2024,60531.55
4/29/2024,63857.94
4/28/2024,63131.87
4/27/2024,63223.49
4/26/2024,63800.02
4/25/2024,64593.68
4/24/2024,64082.31
4/23/2024,66368.98
4/22/2024,67053.01
4/21/2024,65026.69
4/20/2024,64650
4/19/2024,64031.91
4/18/2024,63538.18
4/17/2024,61683.59
4/16/2024,63816.15
4/15/2024,63459.34
4/14/2024,65341.28
4/13/2024,64396.71
4/12/2024,67097.47
4/11/2024,70172.07
4/10/2024,70510.63
4/9/2024,69328.35
4/8/2024,71909.32
4/7/2024,69202.43
4/6/2024,69066.21
4/5/2024,67636.46
4/4/2024,67949.03
4/3/2024,66164.44
4/2/2024,65835.66
4/1/2024,69756.24
3/31/2024,70955.86
3/30/2024,69754.31
3/29/2024,69846.02
3/28/2024,70854.59
3/27/2024,69395.72
3/26/2024,70239.94
3/25/2024,70334.07
3/24/2024,66973.4
3/23/2024,64753.34
3/22/2024,63066.22
3/21/2024,65408.22
3/20/2024,67688.85
3/19/2024,62605.74
3/18/2024,67684.21
3/17/2024,68203.24
3/16/2024,66334.07
3/15/2024,69159.26
3/14/2024,71500.48
3/13/2024,73026.42
3/12/2024,71201.25
3/11/2024,72487.75
3/10/2024,68544.01
3/9/2024,68486.89
3/8/2024,68369.6
3/7/2024,67259.44
3/6/2024,66000
3/5/2024,63526.85
3/4/2024,67999.99
3/3/2024,62838.82
3/2/2024,61760.85
3/1/2024,62645.83
2/29/2024,61264.01
2/28/2024,61298.05
2/27/2024,56992.49
2/26/2024,54695.39
2/25/2024,51694.38
2/24/2024,51574.1
2/23/2024,50801.34
2/22/2024,51450.28
2/21/2024,51517.85
2/20/2024,52181.24
2/19/2024,51941.2
2/18/2024,52260.23
2/17/2024,51721.75
2/16/2024,52004.64
2/15/2024,51733.63
2/14/2024,51852.04
2/13/2024,49534.21
2/12/2024,50029.92
2/11/2024,48166.34
2/10/2024,47857.33
2/9/2024,47305.2
2/8/2024,45271.99
2/7/2024,44153.66
2/6/2024,43190.84
2/5/2024,42455.26
2/4/2024,42542.63
2/3/2024,43013.83
2/2/2024,43109.94
2/1/2024,42913.28
1/31/2024,42642.63
1/30/2024,43324.34
1/29/2024,43139.81
1/28/2024,41835.39
1/27/2024,42140.95
1/26/2024,41917.62
1/25/2024,39937.98
1/24/2024,39866.24
1/23/2024,39435.54
1/22/2024,39783.47
1/21/2024,41615.3
1/20/2024,41757.93
1/19/2024,41677.25
1/18/2024,41313.43
1/17/2024,42674.01
1/16/2024,43208.97
1/15/2024,42577.41
1/14/2024,42254.55
1/13/2024,42897.51
1/12/2024,42473.14
1/11/2024,46410.23
1/10/2024,46818.27
1/9/2024,46280.02
1/8/2024,47033.88
1/7/2024,43891.58
1/6/2024,43880.68
1/5/2024,44007.15
1/4/2024,44387.32
1/3/2024,42785.4
1/2/2024,45010.35
1/1/2024,43536.63
12/31/2023,42260.24
12/30/2023,42116.67
12/29/2023,41762.67
12/28/2023,42640
12/27/2023,43353.4
12/26/2023,42468.04
12/25/2023,43709.06
12/24/2023,43027.7
12/23/2023,43786
12/22/2023,43820.87
12/21/2023,43957.37
12/20/2023,43622.81
12/19/2023,42299.99
12/18/2023,42490.21
12/17/2023,41681.17
12/16/2023,42284.99
12/15/2023,42077.89
12/14/2023,43079.59
12/13/2023,42980.01
12/12/2023,41220.61
12/11/2023,41250
12/10/2023,43775.79
12/9/2023,43916.42
12/8/2023,44270.03
12/7/2023,43155.99
12/6/2023,43791.15
12/5/2023,44311.44
12/4/2023,41954.3
12/3/2023,40060
12/2/2023,39369.91
12/1/2023,38730.28
11/30/2023,37700.9
11/29/2023,37791.82
11/28/2023,37869.94
11/27/2023,37076.29
11/26/2023,37669.74
11/25/2023,37762.96
11/24/2023,37725.01
11/23/2023,37319.43
11/22/2023,37454.76
11/21/2023,36391.21
11/20/2023,37462.37
11/19/2023,37000.15
11/18/2023,36536.45
11/17/2023,36531.59
11/16/2023,36249.76
11/15/2023,37741.03
11/14/2023,35621.66
11/13/2023,36497.98
11/12/2023,37171.71
11/11/2023,36884
11/10/2023,37393.34
11/9/2023,36573.43
11/8/2023,35789.49
11/7/2023,35308.11
11/6/2023,35133.41
11/5/2023,34994.65
11/4/2023,35169.69
11/3/2023,34654.04
11/2/2023,34797.92
11/1/2023,35291.74
10/31/2023,34573.36
10/30/2023,34492.46
10/29/2023,34726.74
10/28/2023,34115.71
10/27/2023,33826.95
10/26/2023,34249.84
10/25/2023,34615.1
10/24/2023,34144.18
10/23/2023,33308.6
10/22/2023,30049.48
10/21/2023,30013.59
10/20/2023,29665.47
10/19/2023,28673
10/18/2023,28356.86
10/17/2023,28422.2
10/16/2023,28523.71
10/15/2023,27110.73
10/14/2023,26853.85
10/13/2023,26831.81
10/12/2023,26748.25
10/11/2023,26787.04
10/10/2023,27448.69
10/9/2023,27584.69
10/8/2023,27936.01
10/7/2023,27967.7
10/6/2023,27997.8
10/5/2023,27439.49
10/4/2023,27741.06
10/3/2023,27399.94
10/2/2023,27559.6
10/1/2023,27976.23
9/30/2023,27017.8
9/29/2023,26891.37
9/28/2023,27014.98
9/27/2023,26316.36
9/26/2023,26173.13
9/25/2023,26279.21
9/24/2023,26495.23
9/23/2023,26575.71
9/22/2023,26577.96
9/21/2023,26584.81
9/20/2023,27094.63
9/19/2023,27211.84
9/18/2023,26880.77
9/17/2023,26460.74
9/16/2023,26574.18
9/15/2023,26791.23
9/14/2023,26618.89
9/13/2023,26253.67
9/12/2023,25971.88
9/11/2023,25140.83
9/10/2023,25844.44
9/9/2023,25908.05
9/8/2023,25908.95
9/7/2023,26323.87
9/6/2023,25718.18
9/5/2023,25753.12
9/4/2023,25763.58
9/3/2023,25951.4
9/2/2023,25863.81
9/1/2023,25752.5
8/31/2023,26035.85
8/30/2023,27240.01
8/29/2023,27642.33
8/28/2023,26050
8/27/2023,26081.74
8/26/2023,26030
8/25/2023,26062.48
8/24/2023,26115.18
8/23/2023,26440.88
8/22/2023,25804.07
8/21/2023,26133.77
8/20/2023,26210.24
8/19/2023,26061.02
8/18/2023,26072.38
8/17/2023,26820.5
8/16/2023,28885.01
8/15/2023,29159.76
8/14/2023,29411.75
8/13/2023,29298.09
8/12/2023,29414.91
8/11/2023,29412.51
8/10/2023,29445.02
8/9/2023,29576.8
8/8/2023,29767.64
8/7/2023,29144.35
8/6/2023,29062.96
8/5/2023,29072.42
8/4/2023,29035.06
8/3/2023,29214.18
8/2/2023,29160.32
8/1/2023,29236.21
7/31/2023,29205.53
7/30/2023,29150
7/29/2023,29356.96
7/28/2023,29300.64
7/27/2023,29197.75
7/26/2023,29468.93
7/25/2023,29205.62
7/24/2023,29161.82
7/23/2023,30032.88
7/22/2023,29809.41
7/21/2023,29929.9
7/20/2023,29819.21
7/19/2023,29872.79
7/18/2023,29819.77
7/17/2023,30118.36
7/16/2023,30347.04
7/15/2023,30303.9
7/14/2023,30270.01
7/13/2023,31321.74
7/12/2023,30348.51
7/11/2023,30575.99
7/10/2023,30344.46
7/9/2023,30189.34
7/8/2023,30228.92
7/7/2023,30335.17
7/6/2023,30176.76
7/5/2023,30443.5
7/4/2023,30821.67
7/3/2023,31124.7
7/2/2023,30645.53
7/1/2023,30582.2
6/30/2023,30476.79
6/29/2023,30425.19
6/28/2023,30113.56
6/27/2023,30593.95
6/26/2023,30228.73
6/25/2023,30521.25
6/24/2023,30539.49
6/23/2023,30666.56
6/22/2023,29936.72
6/21/2023,30120.3
6/20/2023,28271.5
6/19/2023,26751.89
6/18/2023,26409.86
6/17/2023,26563.62
6/16/2023,26361.74
6/15/2023,25614.72
6/14/2023,25037.59
6/13/2023,25836.16
6/12/2023,25932.5
6/11/2023,25897.95
6/10/2023,25889.97
6/9/2023,26493.78
6/8/2023,26555.85
6/7/2023,26286.41
6/6/2023,27176.59
6/5/2023,25719.91
6/4/2023,27228.73
6/3/2023,27076.6
6/2/2023,27273.22
6/1/2023,26896.88
5/31/2023,27187.14
5/30/2023,27747.32
5/29/2023,27690.28
5/28/2023,28094.18
5/27/2023,26820.03
5/26/2023,26712.64
5/25/2023,26455.09
5/24/2023,26346.74
5/23/2023,27212.54
5/22/2023,26874.13
5/21/2023,26764.61
5/20/2023,27080.76
5/19/2023,26876.51
5/18/2023,26895.59
5/17/2023,27319.04
5/16/2023,26996.74
5/15/2023,27314.44
5/14/2023,26900.77
5/13/2023,26899.71
5/12/2023,26716.66
5/11/2023,26915.37
5/10/2023,27699.9
5/9/2023,27590.25
5/8/2023,27683.23
5/7/2023,28791.34
5/6/2023,28885.92
5/5/2023,29612.54
5/4/2023,28791.85
5/3/2023,29099.1
5/2/2023,28748.8
5/1/2023,28040.1
4/30/2023,29395.58
4/29/2023,29235.34
4/28/2023,29371.09
4/27/2023,29396.21
4/26/2023,28296.41
4/25/2023,28230.84
4/24/2023,27467.32
4/23/2023,27598.69
4/22/2023,27866.71
4/21/2023,27257.8
4/20/2023,28200
4/19/2023,29085.56
4/18/2023,30360.53
4/17/2023,29511.75
4/16/2023,30330.07
4/15/2023,30345.29
4/14/2023,30472.66
4/13/2023,30335.13
4/12/2023,29850.61
4/11/2023,30301.13
4/10/2023,29622.88
4/9/2023,28374.45
4/8/2023,27967.64
4/7/2023,27982.06
4/6/2023,28025.28
4/5/2023,28185.76
4/4/2023,28189.48
4/3/2023,27807.57
4/2/2023,28127.74
4/1/2023,28547.75
3/31/2023,28587.79
3/30/2023,27898.51
3/29/2023,28398.03
3/28/2023,27222.11
3/27/2023,27120.73
3/26/2023,28070.02
3/25/2023,27462.54
3/24/2023,27352.8
3/23/2023,28289.87
3/22/2023,27297.59
3/21/2023,28122.14
3/20/2023,28056
3/19/2023,28208.02
3/18/2023,26990.25
3/17/2023,27569.33
3/16/2023,25044.91
3/15/2023,24478.51
3/14/2023,24792.17
3/13/2023,24327.25
3/12/2023,22283.55
3/11/2023,20655.3
3/10/2023,20144.52
3/9/2023,20280.7
3/8/2023,21786.31
3/7/2023,22101.07
3/6/2023,22441.68
3/5/2023,22437.25
3/4/2023,22309.98
3/3/2023,22323.52
3/2/2023,23471.48
3/1/2023,23532.74
2/28/2023,23165.54
2/27/2023,23483.46
2/26/2023,23462.96
2/25/2023,23115.4
2/24/2023,23118.63
2/23/2023,23895.9
2/22/2023,24094.51
2/21/2023,24384.66
2/20/2023,24705.58
2/19/2023,24490.65
2/18/2023,24637.38
2/17/2023,24700.63
2/16/2023,24002.33
2/15/2023,24165.78
2/14/2023,22186.55
2/13/2023,21658.15
2/12/2023,21799.27
2/11/2023,21831.85
2/10/2023,21587.21
2/9/2023,21767.82
2/8/2023,22922.19
2/7/2023,23239.69
2/6/2023,22877.33
2/5/2023,22998.88
2/4/2023,23406.9
2/3/2023,23442.37
2/2/2023,23570.74
2/1/2023,23705.73
1/31/2023,23197.91
1/30/2023,22725.2
1/29/2023,23767.04
1/28/2023,22998.73
1/27/2023,22998.02
1/26/2023,23023.77
1/25/2023,22958.32
1/24/2023,22767.88
1/23/2023,22926.62
1/22/2023,22693.29
1/21/2023,22761.56
1/20/2023,22599.88
1/19/2023,21078.34
1/18/2023,20792.83
1/17/2023,21234.27
1/16/2023,21198.42
1/15/2023,20929.31
1/14/2023,20999.72
1/13/2023,19869.25
1/12/2023,18918.6
1/11/2023,17568.47
1/10/2023,17438.97
1/9/2023,17206.96
1/8/2023,16969.3
1/7/2023,16949.88
1/6/2023,16958.07
1/5/2023,16837.21
1/4/2023,16830.23
1/3/2023,16663.09
1/2/2023,16691.21
1/1/2023,16601.41
12/31/2022,16503.23
12/30/2022,16571.82
12/29/2022,16617.17
12/28/2022,16521.49
12/27/2022,16680.36
12/26/2022,16843.11
12/25/2022,16820.73
12/24/2022,16827.11
12/23/2022,16811.01
12/22/2022,16793.08
12/21/2022,16773.37
12/20/2022,16876.93
12/19/2022,16424.57
12/18/2022,16771.39
12/17/2022,16770.96
12/16/2022,16734.79
12/15/2022,17345
12/14/2022,17834.39
12/13/2022,17758.37
12/12/2022,17155.14
12/11/2022,17114.2
12/10/2022,17194.6
12/9/2022,17132.54
12/8/2022,17197.91
12/7/2022,16849.77
12/6/2022,16981.03
12/5/2022,16944.38
12/4/2022,17113.59
12/3/2022,16960
12/2/2022,17048.56
12/1/2022,16984.03
11/30/2022,17165.48
11/29/2022,16481.28
11/28/2022,16218.23
11/27/2022,16574.31
11/26/2022,16510.06
11/25/2022,16519.78
11/24/2022,16594.79
11/23/2022,16503.74
11/22/2022,16152.93
11/21/2022,15723.38
11/20/2022,16276.92
11/19/2022,16708
11/18/2022,16636.08
11/17/2022,16706.08
11/16/2022,16639.9
11/15/2022,16850.24
11/14/2022,16399.94
11/13/2022,16407.32
11/12/2022,16800.46
11/11/2022,16882.01
11/10/2022,17790.82
11/9/2022,15852.8
11/8/2022,18466.24
