date,price
2/28/2011,137.661
3/1/2011,140.03
3/2/2011,139.917
3/3/2011,138.09
3/4/2011,139.35
3/7/2011,139.721
3/8/2011,139.36
3/9/2011,139.41
3/10/2011,137.77
3/11/2011,138.22
3/14/2011,138.86
3/15/2011,136.27
3/16/2011,136.24
3/17/2011,136.97
3/18/2011,138.37
3/21/2011,139.14
3/22/2011,139.05
3/23/2011,140.34
3/24/2011,139.22
3/25/2011,139.26
3/28/2011,138.54
3/29/2011,138.21
3/30/2011,138.67
3/31/2011,139.86
4/1/2011,139.2
4/4/2011,139.84
4/5/2011,142.05
4/6/2011,142.38
4/7/2011,142.51
4/8/2011,143.66
4/11/2011,142.64
4/12/2011,141.61
4/13/2011,141.9
4/14/2011,143.81
4/15/2011,145.05
4/18/2011,145.93
4/19/2011,145.93
4/20/2011,146.5
4/21/2011,146.74
4/25/2011,146.87
4/26/2011,146.38
4/27/2011,149.2
4/28/2011,149.82
4/29/2011,152.37
5/2/2011,150.414
5/3/2011,149.88
5/4/2011,147.73
5/5/2011,143.47
5/6/2011,145.3
5/9/2011,147.38
5/10/2011,147.9
5/11/2011,146.54
5/12/2011,146.59
5/13/2011,145.63
5/16/2011,145.37
5/17/2011,144.74
5/18/2011,145.6
5/19/2011,145.65
5/20/2011,147.49
5/23/2011,147.83
5/24/2011,148.59
5/25/2011,148.58
5/26/2011,148.22
5/27/2011,149.7
5/31/2011,149.64
6/1/2011,149.91
6/2/2011,149.5
6/3/2011,150.22
6/6/2011,150.48
6/7/2011,150.42
6/8/2011,149.81
6/9/2011,150.56
6/10/2011,149.24
6/13/2011,147.77
6/14/2011,148.67
6/15/2011,149.12
6/16/2011,148.97
6/17/2011,149.94
6/20/2011,150.03
6/21/2011,150.76
6/22/2011,150.99
6/23/2011,148.339
6/24/2011,146.26
6/27/2011,145.73
6/28/2011,146.24
6/29/2011,147.18
6/30/2011,146.001
7/1/2011,144.93
7/5/2011,147.63
7/6/2011,148.91
7/7/2011,149.15
7/8/2011,150.25
7/11/2011,151.59
7/12/2011,152.77
7/13/2011,154.14
7/14/2011,154.54
7/15/2011,155.2
7/18/2011,156.57
7/19/2011,154.66
7/20/2011,156.02
7/21/2011,154.83
7/22/2011,156.12
7/25/2011,157.34
7/26/2011,157.77
7/27/2011,157.19
7/28/2011,157.32
7/29/2011,158.29
8/1/2011,157.72
8/2/2011,161.52
8/3/2011,161.49
8/4/2011,160.64
8/5/2011,161.75
8/8/2011,167.119
8/9/2011,168.61
8/10/2011,174.58
8/11/2011,170.75
8/12/2011,169.97
8/15/2011,171.8
8/16/2011,173.92
8/17/2011,174.42
8/18/2011,177.72
8/19/2011,179.95
8/22/2011,184.59
8/23/2011,177.67
8/24/2011,171.646
8/25/2011,172.36
8/26/2011,177.47
8/29/2011,173.89
8/30/2011,179.1
8/31/2011,177.72
9/1/2011,177.87
9/2/2011,183.238
9/6/2011,182.9
9/7/2011,177.08
9/8/2011,181.81
9/9/2011,180.7
9/12/2011,176.67
9/13/2011,178.54
9/14/2011,177.21
9/15/2011,174.4
9/16/2011,176.03
9/19/2011,173.31
9/20/2011,175.78
9/21/2011,173.59
9/22/2011,169.05
9/23/2011,159.8
9/26/2011,157.58
9/27/2011,160.63
9/28/2011,156.22
9/29/2011,157.7
9/30/2011,158.06
10/3/2011,160.96
10/4/2011,157.644
10/5/2011,159.46
10/6/2011,160.49
10/7/2011,159.18
10/10/2011,163.266
10/11/2011,162.1
10/12/2011,163.26
10/13/2011,162.3
10/14/2011,163.4
10/17/2011,162.62
10/18/2011,161.84
10/19/2011,159.87
10/20/2011,157.77
10/21/2011,159.52
10/24/2011,161.02
10/25/2011,165.59
10/26/2011,167.4
10/27/2011,169.55
10/28/2011,169.62
10/31/2011,167.34
11/1/2011,167.38
11/2/2011,169.06
11/3/2011,171.72
11/4/2011,170.85
11/7/2011,174.98
11/8/2011,173.53
11/9/2011,172.07
11/10/2011,171.14
11/11/2011,173.96
11/14/2011,173.2
11/15/2011,173.36
11/16/2011,171.51
11/17/2011,167.1
11/18/2011,167.62
11/21/2011,163.5
11/22/2011,165.31
11/23/2011,164.83
11/25/2011,163.4
11/28/2011,166.63
11/29/2011,166.88
11/30/2011,170.13
12/1/2011,169.63
12/2/2011,169.82
12/5/2011,167.32
12/6/2011,168.18
12/7/2011,169.4
12/8/2011,165.976
12/9/2011,166.4
12/12/2011,161.99
12/13/2011,158.45
12/14/2011,152.89
12/15/2011,152.33
12/16/2011,155.23
12/19/2011,154.87
12/20/2011,156.98
12/21/2011,157.16
12/22/2011,156.04
12/23/2011,156.31
12/27/2011,154.91
12/28/2011,151.03
12/29/2011,150.34
12/30/2011,151.99
1/3/2012,155.92
1/4/2012,156.71
1/5/2012,157.78
1/6/2012,157.2
1/9/2012,156.5
1/10/2012,158.64
1/11/2012,159.67
1/12/2012,160.38
1/13/2012,159.26
1/17/2012,160.5
1/18/2012,161.6
1/19/2012,161.22
1/20/2012,162.07
1/23/2012,163.16
1/24/2012,162.01
1/25/2012,166.42
1/26/2012,167.27
1/27/2012,168.97
1/30/2012,168.03
1/31/2012,169.31
2/1/2012,169.56
2/2/2012,171.05
2/3/2012,167.64
2/6/2012,167.18
2/7/2012,169.7
2/8/2012,168.5
2/9/2012,168.02
2/10/2012,167.14
2/13/2012,167.51
2/14/2012,167.12
2/15/2012,168.108
2/16/2012,168
2/17/2012,167.35
2/21/2012,171.02
2/22/2012,172.94
2/23/2012,173.02
2/24/2012,172.231
2/27/2012,171.7
2/28/2012,173.49
2/29/2012,164.286
3/1/2012,166.61
3/2/2012,166.34
3/5/2012,165.65
3/6/2012,162.7
3/7/2012,163.63
3/8/2012,165.28
3/9/2012,166.3799
3/12/2012,165.07
3/13/2012,162.3
3/14/2012,159.57
3/15/2012,161.08
3/16/2012,161.3
3/19/2012,161.59
3/20/2012,160.13
3/21/2012,160.21
3/22/2012,159.57
3/23/2012,161.5329
3/26/2012,164.4
3/27/2012,163.24
3/28/2012,161.51
3/29/2012,161.28
3/30/2012,162.12
4/2/2012,162.94
4/3/2012,159.89
4/4/2012,157.21
4/5/2012,158.31
4/9/2012,159.37
4/10/2012,161.1
4/11/2012,161.065
4/12/2012,162.7
4/13/2012,160.85
4/16/2012,160.46
4/17/2012,160.27
4/18/2012,159.31
4/19/2012,159.43
4/20/2012,159.54
4/23/2012,159.07
4/24/2012,159.3
4/25/2012,159.62
4/26/2012,161.03
4/27/2012,161.38
4/30/2012,161.88
5/1/2012,161.32
5/2/2012,160.59
5/3/2012,158.97
5/4/2012,159.47
5/7/2012,159.08
5/8/2012,156
5/9/2012,154.47
5/10/2012,154.77
5/11/2012,153.56
5/14/2012,151.33
5/15/2012,149.74
5/16/2012,149.46
5/17/2012,152.8
5/18/2012,154.55
5/21/2012,154.65
5/22/2012,152.08
5/23/2012,151.62
5/24/2012,151.41
5/25/2012,152.68
5/29/2012,151.02
5/30/2012,151.91
5/31/2012,151.62
6/1/2012,157.5
6/4/2012,157.32
6/5/2012,157.14
6/6/2012,157.21
6/7/2012,154.5
6/8/2012,154.73
6/11/2012,155.36
6/12/2012,156.4594
6/13/2012,157.12
6/14/2012,157.75
6/15/2012,157.84
6/18/2012,157.93
6/19/2012,157.16
6/20/2012,155.97
6/21/2012,152.015
6/22/2012,152.64
6/25/2012,153.76
6/26/2012,152.62
6/27/2012,152.83
6/28/2012,151.05
6/29/2012,155.19
7/2/2012,155.09
7/3/2012,157.46
7/5/2012,155.68
7/6/2012,153.71
7/9/2012,154.04
7/10/2012,152.15
7/11/2012,152.99
7/12/2012,152.59
7/13/2012,154.14
7/16/2012,154.21
7/17/2012,153.47
7/18/2012,153.05
7/19/2012,153.38
7/20/2012,153.67
7/23/2012,153.03
7/24/2012,153.52
7/25/2012,155.67
7/26/2012,156.77
7/27/2012,157.54
7/30/2012,157.43
7/31/2012,156.49
8/1/2012,155.14
8/2/2012,154.13
8/3/2012,155.55
8/6/2012,156.3
8/7/2012,156.28
8/8/2012,156.48
8/9/2012,156.99
8/10/2012,157.18
8/13/2012,155.99
8/14/2012,155.13
8/15/2012,155.63
8/16/2012,156.56
8/17/2012,156.72
8/20/2012,157.26
8/21/2012,158.83
8/22/2012,160.54
8/23/2012,161.89
8/24/2012,161.97
8/27/2012,161.36
8/28/2012,161.64
8/29/2012,160.59
